Nordstrom,3,nordstrom.com,,4,4,4,6.4,3.1,2.3,2.3,0.2,https://directory.goodonyou.eco/brand/nordstrom,United States
Old Navy,1,"oldnavy.com, oldnavy.gap.com",Gap Inc.,6,4,4,9.1,4.6,5.3,3.5,4.5,https://directory.goodonyou.eco/brand/old-navy,United States
OTTO,2,ottostore.com,Otto Group,4,4,8,5.6,4.6,1.9,0.7,1.4,https://directory.goodonyou.eco/brand/otto,Germany
OVS,2,ovsfashion.com,,4,6,4,7.8,7.7,5.5,7.2,9.3,https://directory.goodonyou.eco/brand/ovs,Italy
Patagonia,2,"patagonia.com, patagonia.ca",,8,8,8,7.8,5.4,4.7,4.1,6.8,https://directory.goodonyou.eco/brand/patagonia,United States
Pepe Jeans,2,pepejeans.com,,2,2,4,0.2,0,0,0,0,https://directory.goodonyou.eco/brand/pepe-jeans,Spain
Pimkie,2,"pimkie.com, pimkie.de, pimkie.fr",,4,4,8,5.5,5.4,2.1,2.3,2.4,https://directory.goodonyou.eco/brand/pimkie,France
Prada,4,prada.com,Prada Group,4,4,2,4.8,3.1,0.9,1.3,1.5,https://directory.goodonyou.eco/brand/prada,Italy
PrettyLittleThing,2,prettylittlething.com,Boohoo Group plc,4,2,4,5.2,4.6,1.3,0.8,1.8,https://directory.goodonyou.eco/brand/prettylittlething ,United Kingdom
Primark,1,primark.com,Associated British Foods plc,4,4,4,8.5,3.8,4.3,3,2.3,https://directory.goodonyou.eco/brand/primark,United States
Pull&Bear,1,pullandbear.com,Inditex,4,4,4,8.9,6.2,3.4,4.3,0.1,https://directory.goodonyou.eco/brand/pull-and-bear,Spain
Puma,2,puma.com,,6,6,4,9.4,8.5,5.1,3.7,4.1,https://directory.goodonyou.eco/brand/puma,Germany
Quiksilver,2,"quiksilver.com, quiksilver-shop.ca",Boardriders,2,2,4,0.2,0,0,0,0,https://directory.goodonyou.eco/brand/quiksilver,United States
Ralph Lauren,4,ralphlauren.com,,6,4,4,7.1,4.6,2.8,3.4,0.1,https://directory.goodonyou.eco/brand/ralph-lauren ,United States
Reebok,3,"reebook.com, reebok.ca",Adidas AG,6,6,4,9.1,6.2,4.9,3.9,5.8,https://directory.goodonyou.eco/brand/reebok,United States
REI,2,rei.com,,4,4,6,5,2.3,1.1,1.6,1.5,https://directory.goodonyou.eco/brand/rei,United States
Reserved,2,reserved.com,LPP,4,4,4,5.2,2.3,0.6,1.7,0.1,https://directory.goodonyou.eco/brand/reserved,Poland
REVOLVE,3,revolve.com,,2,2,4,0.2,3.1,0.2,0,0,https://directory.goodonyou.eco/brand/revolve,United States
River Island,2,riverisland.com,,4,4,4,6.4,3.8,1.9,0.1,2.6,https://directory.goodonyou.eco/brand/river-island,United Kingdom
Roxy,2,"roxy.com, roxy.ca",Boardriders,2,2,4,0.2,0,0,0,0,https://directory.goodonyou.eco/brand/roxy,United States
Russell Athletic,1,russellathletic.com,Fruit of the Loom,4,4,8,6.4,3.1,2.8,2.5,3.5,https://directory.goodonyou.eco/brand/russell-athletic,United States
